observation;particle0;particle1;particle2;particle3;particle4;particle5
0;16,20550532;1,405682866;0,707580664;1,106792581;18,72253182;18,99160384
1;15,41698952;1,509879446;0,441056897;0,603258165;18,1549473;18,20949586
2;12,47464702;0,150492321;0,320340208;0,65916589;12,89769965;16,6801665
3;12,21720903;0,261254254;0,356379171;0,26559796;12,37894206;16,09545809
4;11,73928892;0,821276276;0,334169027;0,481874953;11,9568948;15,50563467
5;9,912732678;0,369545059;0,949149052;1,288092997;9,691248853;12,11482259
6;9,262289837;0,76513636;1,397216072;0,893382173;9,003818653;10,93211038
7;9,189990253;1,955498767;0,436618481;0,462634838;8,750081446;10,00200434
8;8,325781259;1,524629695;0,711298532;0,832163278;7,357933375;9,071253
9;6,727467986;0,985909298;0,451325064;0,436575713;6,651290538;7,865968879
10;6,487272785;0,957141569;0,759796273;3,939490371;6,293251916;7,057755087
11;5,989353165;1,508810637;0,963190789;4,066134514;5,907406677;6,005891706
12;5,088896923;2,063305121;0,952184794;5,142694183;5,144178626;5,06720175
13;4,573632303;2,037492892;1,29293675;4,861453446;4,786715003;4,689049364
14;4,049693373;1,889411637;1,021321297;4,451549334;4,318673645;4,198034003
15;3,949295987;2,876690025;2,583902579;4,373895181;4,49367277;4,002332985
16;3,28520203;2,675431032;2,464947064;4,02473388;3,990874871;3,253835509
17;3,472959937;2,958048011;3,046193963;5,756075386;4,027973029;3,084783941
18;2,218306307;0,857961629;2,335036798;5,072810583;3,213997537;1,751246737
19;2,802279114;1,116604847;1,314349273;3,674430307;1,794221976;1,390762356
20;2,732010133;0,355826103;1,146085801;3,712833536;2,409089763;1,280627477
21;2,369490838;0,184299866;0,977161979;3,211971183;3,804059381;0,935409791
22;0,10233548;2,561965659;1,539629344;0,679980094;1,305838782;1,450606855
23;0,131566802;2,954894896;1,734841574;0,647915712;0,812343489;1,854672626
24;0,303983019;1,517286169;1,099817727;0,946999127;1,251166855;1,891627312
25;1,15358467;0,789371787;2,169651118;1,093476027;0,010125684;1,920436838
26;1,327570549;0,367790251;0,664347756;0,791196525;0,086658151;0,759291483
27;1,319608504;0,347321756;0,876184744;0,571786085;0,109214973;0,440588979
28;0,301945233;0,450949911;0,753011902;0,762690909;0,235304054;0,492080869
29;0,071751208;0,316933809;0,570506468;1,088204594;1,074638694;0,347533915
30;0,124647506;0,675202615;0,50364843;3,240650624;2,54330173;0,451161492
31;0,016045076;0,216304868;0,506605654;3,331330951;4,4887101;0,828631395
32;0,67990093;1,161049439;0,124945759;3,666699759;3,841884121;0,251690294
33;0,559213118;1,178832051;0,900425247;3,617878767;3,660314513;1,075657299
34;0,74341661;0,808529378;1,515669744;3,199723189;3,995901037;1,140311592
35;3,793295362;0,858357673;1,646803893;3,779006858;4,210314828;1,279345289
36;4,114446957;1,141044942;1,972307728;4,032158083;4,338780722;1,043325998
37;3,758573589;1,874494836;1,674911073;3,022109164;3,537495557;1,087716566
38;0,615895464;1,520827208;1,356375395;1,47689723;2,57089217;2,500344157
39;1,432655325;0,954553149;1,529290025;2,134487432;4,475289447;2,770070792
40;0,82327996;2,739983074;1,504875616;1,781783783;3,484903385;2,90252176
41;0,540458867;3,14542212;0,137374105;1,690966546;4,34863336;2,898832126
42;1,735917354;2,77761523;1,0896342;2,523325091;4,493563836;2,652487245
43;1,899997356;3,257740619;2,93517699;2,637876901;4,686797182;0,43477492
44;1,277756882;5,925428785;0,718746308;1,04116207;0,965910465;3,863929986
45;2,271029576;6,380359846;1,959177538;1,900935409;0,488182365;4,561037841
46;1,542196198;3,498134979;2,752245599;0,879355588;0,342902719;5,536138077
47;0,745577069;3,354952103;3,002409207;1,116250018;0,158280566;5,496673
48;0,749866368;3,561533905;2,361565369;1,125558495;0,464095433;6,160767982
49;0,01674583;2,859504953;2,424390367;0,056477413;1,05768048;5,260958235
50;0,873607529;1,861966745;2,392129701;0,293192003;0,893563616;3,775261356
51;1,316596601;1,149614015;1,444966251;0,172869862;0,596650731;2,575031614
52;0,400407759;1,678287165;2,061890556;1,111622035;1,659932726;1,936724606
53;0,497041731;1,395837442;0,881182626;0,56339585;1,609306887;0,852788752
54;1,888451581;1,569495751;0,534322661;0,032694137;1,490459204;0,873766827
55;0,54985639;3,100864367;0,791345704;1,752505998;0,299491486;0,497317339
56;0,835793252;2,29856038;1,300890786;1,693622104;0,202931249;0,973715732
57;0,00632967;1,998614367;1,974406162;1,514600596;0,88997799;1,348359758
58;0,135134427;2,536281058;1,43819617;1,883331032;1,445821451;1,970071142
59;0,656887474;2,996463246;2,274391174;2,588934013;1,576589226;1,622653052
60;0,684402554;1,952376131;2,291133218;1,715270421;1,587945639;1,570108658
61;0,520157349;1,615808179;1,850173427;1,541556586;2,108214872;2,80161988
62;0,711007793;2,018735035;2,042640166;0,853992915;2,753599485;2,982195066
63;1,346893222;3,01278349;2,859366708;0,192638647;3,743315063;3,743218021
64;1,479214781;4,190116194;2,740822237;0,04031918;4,349162343;4,216786256
65;2,038785736;5,723872774;3,953229703;1,299839645;6,198563563;5,710760034
66;1,444196798;6,026211991;3,857272625;0,983280596;6,720288078;5,816983405
67;2,099878602;6,730157078;3,963345065;1,751301854;8,044860824;6,386375953
68;1,991745464;7,200719714;3,420627218;1,734107509;8,377264627;6,431380154
69;1,674751153;10,61178422;3,846070363;1,754910294;;7,218388818
70;1,349843273;11,51817376;3,654884976;0,661731787;;8,039055607
71;1,44799317;;3,411973803;0,557142327;;8,032131845
72;1,37735338;;3,389011432;0,171444529;;8,499578842
73;1,147539174;;2,538609344;0,321886457;;8,936433927
74;;;2,177801193;;;8,992935657
75;;;1,891211101;;;
76;;;1,809771834;;;
77;;;1,359655563;;;
78;;;;;;
79;;;;;;
80;;;;;;
81;;;;;;
82;;;;;;
83;;;;;;
84;;;;;;
85;;;;;;
86;;;;;;
87;;;;;;
88;;;;;;
89;;;;;;
90;;;;;;
91;;;;;;
92;;;;;;
93;;;;;;
94;;;;;;
95;;;;;;
96;;;;;;
97;;;;;;
98;;;;;;
99;;;;;;
100;;;;;;
101;;;;;;
102;;;;;;
103;;;;;;
104;;;;;;
105;;;;;;
106;;;;;;
107;;;;;;
108;;;;;;
109;;;;;;
110;;;;;;
111;;;;;;
112;;;;;;
113;;;;;;
114;;;;;;
115;;;;;;
